name,adset_name,campaign_name,event_date,sum,revenue
,,BI_gt-All_t-AAA_ds-Lockdown_Duplicate,2024-02-03 00:00:00,24745.58,72841.93302370380
,,DPA_gt-All_t-AppCrosssellTraffic_ds-Lockdown,2024-01-27 00:00:00,9293.96,5672.111961436150
,,DPA_gt-All_t-EB0AppVisitorTraffic_ds-Lockdown_BidCap,2024-02-03 00:00:00,9529.11,32439.11878829370
,,NDPA_NS_LapsedBuyers_ROIHunter_Discounted Bestseller_Pur,2024-01-27 00:00:00,58568.37,183796.53926093700
,,DPA_AppBBSBuyers_Clearance_Pur,2024-01-28 00:00:00,61432.45,284194.1976888520
,,DPA_gt-All_t-AppUpsell_ds-Lockdown,2024-01-30 00:00:00,202861.98,700784.6408724150
,,NDPA_NS_ASC_80%Exis_Obj_Pur Campaign,2024-02-01 00:00:00,204611.64,406298.79584571100
,,DPA_gt-All_t-AppUpsell_ds-Lockdown,2024-01-31 00:00:00,201052.18,998479.8445297990
,,DPA_APP_AFRecent_Inactive_HLTV_Android,2024-02-03 00:00:00,96344.81,401885.60271250700
,,DPA_APP_AFCart_abondaners_iOS,2024-01-30 00:00:00,30211.74,101043.97616737400
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2_iOS_LC,2024-02-01 00:00:00,151581.12,259908.17507607100
,,DPA_gt-All_t-AppCrossSellKids_ds-Lockdown_D_CBO,2024-01-30 00:00:00,80965.24,170348.3072482020
,,DPA_AppBBSBuyers_Clearance_Pur,2024-01-27 00:00:00,56274.38,198960.32270345200
,,DPA_gt-All_t-EB0AppVisitor_ds-Lockdown,2024-02-02 00:00:00,121221.14,78505.57374853700
,,DPA_APP_AFRecent_Inactive_HLTV_Android,2024-01-29 00:00:00,74755.72,115094.53239563500
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2,2024-01-28 00:00:00,10124.58,37943.88445289790
,,BI_gt-All_t-AAA_ds-Lockdown_Duplicate,2024-01-27 00:00:00,11797.59,30888.35895551140
,,DPA_gt-All_t-EB0AppVisitor_ds-Lockdown,2024-02-03 00:00:00,116367.09,261047.67036873900
,,BI_gt-All_t-AAA_feed_ds-Value,2024-02-01 00:00:00,25154.53,25945.553535666800
